Skills (Competencies),Operational Definition,Potential Strength,Development Considerations,Behavioral Interview Question 1,Behavioral Interview Question 2
Planning,"The ability to choose the necessary actions to reach a goal, decide the right order, assign each task to the proper cognitive resources, and establish a plan of action.","Evaluates available options, analyzes relevant information, and makes informed decisions throughout the planning process.
1. Skillfully breaks down complex goals to determine the logical order of the tasks. 
2. Prioritizes important tasks and activities that have a substantial impact on the overall objective.
3. Examines the plan regularly to take corrective action based on progress or to address unforeseen challenges.","May have difficulty defining specific goals and objectives, resulting in a lack of direction and focus.
1. Struggles in determining time, effort, or availability of resources while planning. 
2. Is reluctant to modify one's plan in light of changing circumstances. 
3. Tends to overlook the interdependencies or relationships between tasks to create a coherent plan.","Tell us about a time when you had to develop a contingency plan to address potential obstacles. 
1. What was the plan? What were the potential obstacles?
2. What steps did you take to create a contingency plan? 
3. What was the outcome? What did you learn about planning from this?","Describe a time when you had multiple assignments due at once.
1. How did you organize your time to complete the assignments on time?
2. Did you face any problems? How did you manage?
3. What was the take away from this experience?"
Positive Mindset,"Demonstration of a 'can-do' attitude and approaching situations in a pleasant, happy, and upbeat manner.","Maintains an upbeat attitude even under pressure by staying positive. 
1. Is resilient and quickly recuperates from setbacks or failures.
2. Celebrates small victories and maintains a “can-do” attitude.
3. Uses supportive and inclusive language that uplifts others.","May depend primarily on external factors to determine one's own happiness. 
1. May not prioritize self-care which could hinder the maintenance of a positive mindset. 
2. May struggle to recover from setbacks due to a lack of focus on the silver lining. 
3. Has a hard time engaging in positive self-talk to overcome challenges.","Give an example of a time when you remained positive despite personal or professional obstacles. 
1. What were some of the obstacles that you encountered?
2. What steps did you take to remain positive? Did you seek help?
3. What did you learn from this experience?","Describe a time you struggled to remain positive in the face of challenges. 
1. What was the challenge that you were facing?
2. What made it particularly difficult? Did you do anything to remain positive?
3. What was the outcome? What did this outcome teach you about yourself?"
Presentation Skills,The ability to confidently deliver an engaging message to a group of people that achieves the objectives.,"Understands how to present a message to the intended audience in an engaging and memorable manner. 
1. Makes the presentation compelling by using elements of storytelling wherever possible. 
2. Ensures that the presentation achieves its desired objective with the audience as intended. 
3. Establishes the presentation and arranges its contents in a logical and well-organized manner.","Finds it tough to structure a coherent presentation that achieves its desired objective. 
1. Experiences difficulty using visual aids to create an engaging presentation. 
2. Has a hard time modifying the contents of the presentation to suit audience requirements. 
3. May struggle to respond clearly to audience members' questions and concerns.","Give an example of a time you tailored a presentation keeping in mind the target audience.
1. Who was the target audience? What were their requirements?
2. What steps did you take to modify the presentation?
3. What was the outcome? What did you take away from the experience?","Describe a time when you had to present technical or complex information to a non-technical audience.
1. What was the nature of the information? 
2. How did you present the information? What steps did you take? Did you use visual aids? How did you ensure clarity? 
3. What was the outcome? How did the audience respond? What were your key takeaways from this experience?"
Project management,"The ability to plan and manage projects, activity schedules, resource allocation, time scales, and timelines with associated budgets in order to deliver projects on time, within cost, and at the desired quality level.","Takes proactive measures to ensure the project is completed on time and to the specified quality standards. 
1. Ensures stakeholders receive project updates and reports in a timely manner. 
2. Monitors work progress against the set benchmarks to identify and resolve unforeseen problems. 
3. Anticipates potential roadblocks and hurdles and works diligently towards mitigating them.","Experiences difficulty in delivering projects on time, within budget, and to the specified standards. 
1. May have a limited understanding of the project management tools and techniques. 
2. Has difficulty tracking project progress and foreseeing obstacles to assure a smooth delivery. 
3. May not prioritize communicating project status updates to stakeholders to keep them informed.","Specify a time when you successfully completed a project under stringent time constraints.
1. What was the project? What were the timelines? Who were the stakeholders?
2. What measures did you take? How did you overcome challenges?
3. What would you do differently if you could redo the event?","Tell us about a time you identified potential risks in a project and created a backup plan.
1. What project were you working on, and what perceived risks did you recognize?
2. How did you identify these potential risks? What specific steps did you take to develop a backup plan?
3. What was the outcome? What were your key takeaways from this particular project?"
Promoting a culture of respect,"The act of creating and promoting a culture where diversity is valued, where individuals feel that their contributions are recognized and acknowledged, and where expectations regarding behavior are clearly articulated and modeled by leadership.","Promotes a culture of respect by setting an example and serving as a role model.
1. Actively listens to others and fosters an environment where they can freely express their opinions. 
2. Takes corrective action against discriminatory conduct and reinforces behavioral expectations. 
3. Shows genuine appreciation for the skills, knowledge, and efforts of others.","May have a hard time taking the lead and establishing certain ground rules for workplace behavior. 
1. May at times behave in a manner that undermines the culture of respect. 
2. Tends to be indifferent to others and struggles to acknowledge the contributions of others at work. 
3. Experiences difficulty in fostering a respectful environment in which everyone's ideas are valued and treated fairly.","Give an example of a time when you addressed disrespectful behavior or remarks in the workplace.
1. What was disrespectful about it? 
2. How did it affect you or anyone else at work? What steps did you take to deal with it?
3. What was the outcome? If you had to do it again, how would you go about it?","Describe a time when you set clear behavioral expectations to foster a respectful work culture. 
1. Why did you feel the need to deal with it head-on?
2. What steps did you take to set the expectations? How did you communicate them to others?
3. What was the outcome? What did you take away from this experience?"
Purpose-driven,An abiding intention to achieve a long-term goal that is both personally meaningful and makes a positive mark on the world.,"Exhibits genuine enthusiasm and steadfast devotion towards the long-term goal that benefits the greater good.
1. Effectively adapts one's strategies and finds resources to progress towards one's long-term goal.
2. Builds partnerships with like-minded individuals or organizations to achieve shared goals. 
3. Remains resilient in the face of obstacles and does not get swayed by distractions.","Lacks the tenacity to pursue a personally meaningful long-term objective that benefits everyone.
1. Often gets distracted and loses sight of long-term goals in the face of challenges and short-term gains. 
2. Prefers to work alone and in isolation on personally significant long-term objectives, minimizing their wider impact. 
3. Seldom celebrates milestones that inspire and nurture long-term aspirations.","Tell us about a project or initiative you worked on that had a clear objective and created a positive impact.
1. What was the goal you were working towards?
2. What made you search for collaborative opportunities? What steps did you take to find them?
3. What was the outcome?","Tell us about a time when you went above and beyond the call of duty because it was meaningful to you. 
1. What was the activity? Why was it important to you?
2. What steps did you take to find and accomplish the activity? Did you face any obstacles? 
3. What was the outcome? Did you share it with others? What did you learn from this experience?"
Resilience,The courage and emotional strength to withstand adversity and bounce back from difficult life situations.,"Can self-regulate one's emotions, thoughts, and actions and does what needs to be done to bounce back from setbacks.
1. Perseveres on one's goals and objectives to deliver results despite facing setbacks.
2. Finds creative solutions to overcome obstacles as a result of being flexible in one's approach.
3. Concentrates on one's locus of control to maximize one's chance of success when faced with challenges.","May exhibit a tendency to withdraw and become pessimistic in the face of adversity or setbacks. 
1. Takes longer than usual to cope with setbacks as a result of getting overwhelmed. 
2. Tends to lose focus and find it challenging to discern between things under one's control and outside of it to overcome them. 
3. May struggle to practice positive self-talk and end up criticizing and questioning themselves repeatedly.","Can you share a time when you faced resistance, criticism, or failure in a project or initiative you were working on? 
1. How did you initially react to the resistance, criticism, or failure? What emotions did you experience?
2. How did you stay motivated and maintain your confidence despite the setback?
3. Did you make any adjustments to your approach or strategy based on the feedback or lessons learned?","Tell us about a time when you encountered a major setback or failure at work.
1. What was the situation? What was the setback?
2. How did you approach the setback? What would you do differently if you had to do it again?
3. What did you learn from this experience?"
Role Modeling,"The act of presenting or behaving in a certain way that is admired, followed, and imitated by others.","Accepts complete responsibility for one's actions and reflects on the lessons learned to take corrective action. 
1. Demonstrates exemplary behavior in handling difficult circumstances by remaining calm, composed, and positive. 
2. Adopts a growth mindset and continuously tracks down opportunities to learn. 
3. Builds positive relationships by communicating effectively and respectfully.","May bother less on demonstrating positive behaviors, values, and actions for others to emulate. 
1. Exhibits inconsistent work habits and routines, resulting in a lack of dependability or trust. 
2. May disregard the feedback or contributions of others, undermining the collaborative spirit. 
3. Has a tendency to avoid responsibility and assign blame to others.","Can you provide an example of a time when you were a positive role model for others in a professional setting? 
1. What specific actions or behaviors did you demonstrate that made you a positive role model in that situation?
2. Did you actively seek opportunities to mentor or guide others as part of your role modeling efforts? If so, how did you identify individuals who could benefit from your guidance?
3. Did you encourage others to develop their own unique strengths and styles while still embodying positive qualities?","Describe an occasion you intentionally behaved in a manner you wanted others to follow.
1. What were your goals? Why did you want them to embrace these behaviors or values?
2. How did you model and promote these values? Did you face any challenges? 
3. How did your role modeling effect work culture? Did others respond similarly?"
Self-confidence,An attitude that allows individuals to have positive yet realistic views of themselves and their situations.,"Confidently expresses one's thoughts and opinions to establish boundaries and facilitate meaningful interactions.
1. Uses one's belief in one's abilities to propel forward in times of difficulty.
2. Pursues higher accomplishments due to the enhanced focus and concentration that stems from one's belief in one's abilities. 
3. Maintains one's level of motivation during difficult times and high-pressure situations due to confidence in one's capabilities.","Tends to have limiting beliefs about one's capabilities due to self-doubt.
1. May easily get overwhelmed and withhold one's ideas and opinions in high-pressure situations. 
2. Finds it hard to foster new relationships due to the lack of conviction in one's interactions. 
3. Gets overly focused on failures and experiences a profound impact on one's self-image.","Give an example of a time you were asked to complete a task you weren't sure you could complete.
1. What was the task? Why were you unsure?
2. How did you approach the situation? 
3. What was the outcome? What did you learn from that experience?","Describe a time when your confidence helped you accomplish something.
1. What was the task? Why were you confident that you will be able to achieve it?
2. What was the outcome? What role did your belief in yourself play in the outcome?
3. What did you take away from this experience?"
Self-control and regulation,"The ability to regulate one's emotions, thoughts, and behavior while inhibiting or giving in to temptations and impulses.","Manages one's emotions and reactions appropriately by demonstrating self-awareness. 
1. Resists impulsive behavior and acts deliberately by taking the long-term consequences into account.
2. Regularly evaluates and evaluates one's thoughts, emotions, and behaviors in order to exercise self-control.
3. Maintains healthy boundaries to manage one's time and avoid exhaustion.","Has a tendency to act impulsively without fully considering the implications of one's actions. 
1. Has a basic understanding of how to deal with pent-up or unresolved emotions to avoid outbursts.
2. Lacks the willingness to explore the root causes of emotional triggers to address one's emotional challenges.
3. May struggle to understand the context of one's emotional experiences, making them harder to manage.","Describe the last time you dealt with a difficult client or a colleague. 
1. What was the person difficult to deal with?
2. How did you approach the situation? What steps did you take? Did you seek help?
3. What was the outcome? What did this experience teach you?","Describe the last time it was difficult for you to control your emotions. 
1. What was the situation? Why was managing your emotions difficult?
2. What emotions did you find hard to handle? Did you manage to keep them in check?
3. What was the outcome? What did it teach you about your emotional triggers?"
Self-directedness,The ability to regulate and adapt behavior to the demands of a situation in order to achieve personally chosen goals and values.,"Takes full responsibility for reaching one's goals, regardless of external circumstances. 
1. Exhibits a keen awareness of the situation and uses it to guide one's behavior. 
2. Makes smart decisions based on analysis, research, and evaluation to reach one's goals.
3. Adapts to situational demands and actively looks for ways to reach one's goals.","Experiences difficulty adapting one's approach to different situations to achieve one's goals. 
1. May lack the motivation to persevere through different situational demands to reach one's goals. 
2. Has a hard time adapting to change and becomes overwhelmed by the fluctuating demands of the situation.
3. Frequently lacks clarity on one's goals, making it difficult to deal with challenging situations.","Tell us about a time when you had to adapt your approach to your goal due to changing circumstances.
1. What was the goal? What was the change? What were the changes you had to make to adapt?
2. What steps did you take? Did you face any obstacles? 
3. What was the outcome? What did you learn from this experience?","Tell us about a time when you abandoned a personal goal due to changing circumstances. 
1. What was the goal? Why did you feel the need to abandon it?
2. Did you take any steps to salvage the goal? Did you seek help? Do you wish you had continued working on your goal? 
3. What did you take away from this experience?"
Self-motivation,"The sense of internal drive or state that pushes a person to achieve, produce, develop, and keep moving forward.","Is persistent, determined, and resilient in the pursuit of their goals. 
1. Possesses an unwavering drive to succeed, even in the face of challenges or obstacles.
2. Rather than waiting for others to direct or motivate, takes ownership of one's actions and outcomes.
3. Sets clear, meaningful goals and work persistently towards achieving them.","Struggles to uncover and maintain motivation and passion for one's goals and objectives. 
1. May become easily disheartened by setbacks and experience a loss of motivation. 
2. May not consider establishing a system of self-reward for making progress. 
3. Has a hard time to keep oneself motivated in new situations.","Give an example of a project or task you worked on with a lot of enthusiasm.
1. What was the project? What aspects of the project sparked your enthusiasm or passion?
2. Did you face any obstacles while working on the project? Did they have any effect on your enthusiasm?
3. Did your enthusiasm make a difference? What did you take away from this experience?","Tell me about a time when you faced a challenging goal or project.
1. What was the task? Why did you find it particularly challenging?
2. Did you complete it? How did you keep yourself motivated? What worked? What didn't?
3. What did you learn from this experience about yourself?"
Speaking with conviction,"The ability to transfer information to and from others in an intentional, influential, and honest way where everyone feels heard and objectives of the conversation are met.","Maintains one's focus on the intended goals and outcomes while communicating with others. 
1. Adapts one's communication style by displaying empathy for others and considering their points of view. 
2. Takes nonverbal cues into account to boost the message's impact and effectiveness.
3. Strives to enhance one's ability to transfer information by incorporating and soliciting feedback.","Struggles to articulate ideas and concepts clearly, resulting in an ineffective information transfer.
1. Finds it hard to adapt one's communication style to suit the requirements of the audience. 
2. May have little interest in ensuring that the conversation's objectives are met.
3. May lack self-confidence, making it difficult to transfer the information effectively.","Tell me about a time when you had to present a new idea or proposal to a group of skeptical stakeholders. 
1. What were the main concerns or reasons behind the skepticism of the stakeholders? How did you identify and understand those concerns?
2. Did you use any data, research, or evidence to support your idea or proposal? How did you incorporate it into your presentation to build credibility and overcome skepticism?
3. How did you gauge the reactions and engagement of the skeptical stakeholders during the presentation? Did you make any adjustments or adapt your approach based on their responses?","Can you share an example of a time when you had to communicate complex information or technical details to a non-technical audience? 
1. How did you determine the level of understanding and background knowledge of the non-technical audience before communicating the information?
2. How did you ensure that the non-technical audience remained engaged and interested throughout the communication process?
3. Did you make any adjustments or adaptations in your communication approach based on the feedback or reactions from the non-technical audience? If so, what changes did you make and why?"
Storytelling,"The ability to identify, listen to, tell, understand, be touched by, and act on the stories that one is exposed to.","Condenses data findings into a clear, compact, and easy-to-understand story. 
1. Creates a distinct narrative that ensures the story proceeds logically and connects with the audience. 
2. Adapts the narrative approach based on the needs of the targeted audience. 
3. Utilizes data visualization to present information in a captivating manner.","May prioritize data and facts and find it difficult to infuse emotions into data-driven storylines.
1. May have a limited understanding of how to translate data points into a coherent and compelling narrative.
2. Experiences difficulty in using data visualization techniques to enhance the storytelling experience. 
3. Finds it tough to modify storytelling approaches to cater to the needs of the target audience.","Tell us about a time when you used data to create a compelling story or narrative. 
1. What was the goal? What kind of data were you working with?
2. What steps did you take to build your narrative? How did you tailor the narrative to the target audience? Did you encounter any challenges?
3. What was the outcome? What lessons did you learn from this? What could you have done better?","Tell us about a situation where you used storytelling to inspire action or motivate others. 
1. What was the situation? What was the outcome you were aiming for?
2. Did you take any special steps to inspire that particular action? 
3. What was the outcome?"
Strategic Thinking,"The ability to formulate objectives and priorities, and implement plans consistent with the long-term interests of the organization in a global environment.","Actively thinks about emerging trends and how they might affect the long-term goals of the organization.
1. Puts in structures to lessen the impact of the organization's limitations on the long-term goals of the organization.
2. Aligns initiatives with the long-term objectives of the organization by rallying stakeholders and reaching a consensus.
3. Looks for growth and partnership opportunities that fit with the long-term goals of the organization.","May prioritize quick results over long-term strategic objectives, thereby curtailing sustainable growth and competitive advantage.
1. Has a hard time aligning plans and actions with the long-term interests and strategic direction of the organization, which often leads to a lack of alignment. 
2. Exhibits difficulty adapting strategies and plans in a timely manner to changing circumstances or unforeseen challenges.
3. Overlooks the importance of seeking perspectives of stakeholders, which may limit understanding and create blind spots.","Describe a time when you had to change a strategic plan because of a change in circumstances. 
1. What was the plan? What pushed you to change the plan?
2. Did you have a contingency plan in place? What steps did you take? What obstacles did you face? Was the new plan well-received? 
3. What did this experience teach you?","Share an example of a strategic plan that you created and successfully put into action.
1. What was the objective or purpose of the strategic plan? 
2. What steps did you take to develop the plan? How did you acquire support for your plan? Did you encounter any obstacles during the implementation phase?
3. What lessons did you learn from this experience?"
Synthesizing messages,The ability to synthesize thoughts and information to discover or extend understandings.,"Extracts meaningful insights by effectively analyzing complex thoughts and information. 
1. Quickly assimilates information and recognizes the connections and interdependencies.
2. Finds the overarching themes while analyzing thoughts and information. 
3. Proactively identifies and bridges the gaps in understanding by filling in the missing information.","May lack the skills and motivation to derive meaningful insights from the information. 
1. Finds it tough to communicate the gathered insights in a clear and concise manner. 
2. Lacks the ability to accurately assess the reliability and significance of different sources of information. 
3. Often overlooks crucial details, common threads, and nuances in the information.","Tell us about a time you had to combine information from various sources to understand a complex topic. 
1. What was the topic? Why did you have to consult multiple sources? 
2. How did you approach it? How did you ensure that you captured all the relevant information? Did you encounter any difficulties?
3. What did you take away from this experience?","Give an example of a time when it was hard for you to make sense of complex information or ideas
1. What made it difficult for you to understand the topic? 
2. What methods or strategies did you use? What were the main challenges or obstacles you encountered? Did you seek any additional support? 
3. What was the outcome? What did you learn from this experience?"
Time management and prioritization,"The ability to use one’s time effectively and productively, and prioritize tasks efficiently in order to manage one's time.","Allocates sufficient time for each task, organizes one's work, and makes progress towards completing assignments within the given time frame.
1. Breaks down larger projects into manageable chunks and establishing clear timelines.
2. Skillfully adjusts and deprioritizes tasks and timelines based on situational demands. 
3. Is disciplined, adheres to schedule, and promptly works on tasks instead of procrastinating.","Tends to miss deadlines and falls behind schedule as a result of underestimating the time taken to complete the task. 
1. Needs to work on how to deprioritize tasks based on situational demands to meet key deadlines. 
2. May struggle to understand the difference between urgent and important tasks. 
3. Find it tough to stay focused on the task at hand and get distracted with other work activities like email.","Share the last time you were behind your work schedule and missed a deadline. 
1. Why were you behind schedule? What happened?
2. What was the outcome of missing the deadline?
3. What did you take away from the experience?","Can you describe a time you dealt with a time-sensitive task?
1. What was the task? How did you plan for the task?
2. Were you able to complete the task? if yes, what steps did you take to ensure that the task gets completed on time?
3. What was the outcome?"
Unconventional approach (breaking stereotypes and barriers),A generalized belief to work beyond the stereotypes of gender or creed and openly accept differing perspectives.,"Is prepared to change one's opinions and beliefs in light of new information. 
1. Fosters an environment where everyone feels welcome and valued.
2. Exhibits genuine curiosity in understanding others' unconventional thoughts and beliefs. 
3. Promotes the eradication of stereotypes and biases by taking deliberate measures to eliminate them.","Is rigid and unwilling to change one's perspective, even in the light of new information. 
1. Often dismisses initiatives that challenge biases and stereotypes at the workplace. 
2. Has a tendency to be argumentative when faced with conflicting points of view. 
3. May have a limited understanding of unconscious biases and how they reflect in one's behavior.","Share an occasion in which you successfully challenged your own preconceived notions.
1. Can you articulate your earlier belief? What made you question your first belief?
2. How did you question your beliefs? What challenges did you face? How did you get through it?
3. What did you learn from this experience?","Describe a time when you actively fought against prejudice or stereotype. 
1. What was the prejudice or stereotype? Why did you find the need to fight against it? 
2. How did you approach the situation? Did you face any challenges? How did you deal with them? 
3. What was the outcome? What did this experience teach you?"
Understanding of the external environment,The ability to have a good understanding and judgment about a group of factors or conditions that are outside the organization but affect it to some extent.,"Stays updated on the various external business environments like technology that could potentially impact the organization.
1. Proactively conducts an analysis to evaluate the extent of the impact external factors could have on the organization.
2. Adapts strategies and approaches to minimize the impact of the external business environment on the organization.
3. Adopts a strategic approach and aligns organizational goals and objectives with external business conditions.","Often undermines the impact of the external business environment on the organization. 
1. Lacks clarity about the external business environment and takes a reactive approach that could potentially alter the organization's competitiveness.
2. Experiences difficulty staying updated on emerging trends and tends to rely on outdated or incomplete information. 
3. May avoid taking calculated risks based on one's experience to adapt and respond to changes in the external business environment.","Tell us about a strategic choice you made based on your understanding of the external market conditions.
1. What was the choice that you made? What pushed you to make that choice?
2. What factors did you consider while making that choice? How did you evaluate the external market conditions?
3. What was the outcome? What are the key lessons you learned from this experience?","Tell us about a situation where you identified a potential threat or disruption in the external environment.
1. What was the disruption or threat you identified? How did you find out about this?
2. How did you analyze the impact of it? How did you validate your understanding?
3. What was the outcome? What did you learn from this experience?"
Understanding one's emotions,The ability to recognize and accept one's feelings and emotions as they occur.,"Takes full responsibility for one's emotions and proactively regulates them. 
1. Can correctly identify and label one's emotions. 
2. Understands how one's emotions influence one's behavior. 
3. Understands how others may perceive one's emotions.","Has a hard time understanding how one's emotions affect one's behavior. 
1. Tends to dismiss one's emotions and may have difficulty naming them. 
2. Has a limited understanding of how to manage one's emotions in a healthy manner. 
3. May not have much clarity on one's emotional triggers and underlying causes.","Give an example of a time when you had difficulty managing your emotions.
1. What was the situation? What was the emotion you were experiencing?
2. Why did it seem hard to handle? How did you attempt to manage how you felt? Did you ask for help?
3. What lessons did you learn from this? What would you do differently if you could redo this?","Tell us about the last time something made you experience a strong emotion in public. 
1. What triggered such a strong emotion? 
2. How did you manage your emotions? Did you take any specific steps?
3. Did you reflect on your emotional response? What would you do differently if you could redo this?"
Understanding one's strengths,"The ability to reflect on, consider, and identify one's core strengths to utilize them for particular ways of thinking, feeling, and behaving.","Effectively utilizes one's strengths to enhance one's performance and productivity. 
1. Actively seeks feedback to gain insights into one's strengths for further development.
2. Can articulate one's core skills and specific contributions in different aspects of life.
3. Pursues opportunities in areas that complement one's core strengths.","Has a limited understanding of one's strengths and how to utilize them. 
1. May not focus on identifying areas that complement one's strengths to expand one's area of expertise. 
2. Focuses primarily on overcoming shortcomings rather than discovering and maximizing strengths.
3. Tends to disregard feedback on one's core strength and limits their development in the process.","Tell us the last time you used your core strength at work. 
1. What is your core strength?
2. Where did you use it and how? In such a situation, how did it help you?
3. Did this situation help you learn more about your core strength? What did you learn?","Tell us about a time when you received feedback on your core strengths. 
1. What is your core strength?
2. What was the feedback? Did you agree with it? 
3. Did it help you? What did you learn from it?"
Vision Alignment,The act of ensuring that every working member of the team or the organization understands the strategies and work required to turn the vision into reality along with their contribution to the same.,"Ensures that everyone has an in-depth understanding of the vision and the strategy to achieve it. 
1. Regularly provides updates on the progress to keep everyone motivated. 
2. Encourages dialogue and answers queries and concerns to develop shared understanding. 
3. Finds opportunities to reinforce the connection between individual efforts and the overall vision.","Has a tough time reinforcing the link between individual work and the overall vision. 
1. Tends to provide updates only when essential, which may result in misalignment 
2. Struggles to answer others' queries and concerns regarding the work required to achieve the vision. 
3. Often struggles to effectively communicate the vision and strategy, leaving others perplexed.","Tell us about a time when you had to change strategies or plans because the organization's vision had changed.
1. What changed in the organization's vision?
2. How did you approach the change? What steps did you take to ensure alignment? How did you gain buy-in from others?
3. Did you monitor the outcomes? What did you learn from this experience?","Tell us about a time when you made sure your team understood your vision and strategies.
1. What was the vision? What was the strategy? 
2. How did you approach the task? Did you face any challenges? Did you receive any feedback?
3. What was the outcome? What did you take away from this experience?"
"Voice, articulation, and diction","The ability to clearly speak with confidence, appropriate voice modulation, pitch, pauses, and energy.","Speaks consciously to ensure that each word is audible and understood.
1. Uses the right tone of voice to show emotions and highlight key details. 
2. Makes effective use of strategic pauses to give the audience time to process the information. 
3. Matches the tone of voice to suit the content and its desired impact.","Often exhibits poor diction and pronunciation that leads to misunderstandings. 
1. Tends to speak in a tone of voice that struggles to command attention from the audience. 
2. May struggle to speak deliberately to allow comprehension and engagement. 
3. Has a hard time using pauses to enhance the desired impact.","Tell us about a time you received feedback on your speaking skills.
1. What was the feedback? 
2. What was the focus of the feedback? Did you take any steps to deal with it? 
3. Did you find the feedback useful? What change did it bring in your speaking skills?","Describe a time when you successfully adapted your tone and intonation to meet the needs of your audience.
1. What was the situation? What were the requirements?
2. What specific adjustments did you make? Did you face any challenges? How did you handle them?
3. What was the end result? Have you used this experience's lessons elsewhere?"
